Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2017;Dic;viernes, 1 de diciembre de 2017;28;Niña;-1;2017Dic;108;25.1;2.6;14.35;5;579.5;Menos lluvioso;45;5;4;2;2;0;0;NIÑA MODERADO
2018;Ene;lunes, 1 de enero de 2018;108;Niña;-0.9;2018Ene;109;25.5;3.4;13.92;13;533.9;Menos lluvioso;34;16;9;2;1;0;0;NIÑA DÉBIL
2018;Feb;jueves, 1 de febrero de 2018;21;Niña;-0.8;2018Feb;110;26.6;4.9;14.72;5;339.3;Menos lluvioso;70;0;0;0;0;0;0;NIÑA DÉBIL
2018;Mar;jueves, 1 de marzo de 2018;35;Niña;-0.6;2018Mar;111;27.1;3.5;14.63;7;980.5;Lluvioso;97;6;1;0;8;0;139;NIÑA DÉBIL
2018;Abr;domingo, 1 de abril de 2018;46;Neutro;-0.4;2018Abr;112;25;7;13.94;7;1391;Lluvioso;120;53;63;2;27;6;18;NEUTRO
2018;May;martes, 1 de mayo de 2018;17;Neutro;-0.1;2018May;113;22.9;6.5;14.35;12;1004.8;Lluvioso;180;9;2;0;5;0;0;NEUTRO
2018;Jun;viernes, 1 de junio de 2018;55;Neutro;0.1;2018Jun;114;21.7;6.4;14.08;8;315.2;Lluvioso;153;3;0;0;0;0;0;NEUTRO
2018;Jul;domingo, 1 de julio de 2018;73;Neutro;0.1;2018Jul;115;22.1;7.4;14.16;6;449.3;Menos lluvioso;70;6;1;0;0;0;0;NEUTRO
2018;Ago;miércoles, 1 de agosto de 2018;39;Neutro;0.2;2018Ago;116;22.2;3.4;13.85;1;347.1;Menos lluvioso;64;5;6;0;0;0;0;NEUTRO
2018;Sep;sábado, 1 de septiembre de 2018;46;Neutro;0.4;2018Sep;117;24.8;5.3;14.52;7;282.9;Menos lluvioso;69;8;9;0;12;0;0;NEUTRO
2018;Oct;lunes, 1 de octubre de 2018;59;Niño;0.7;2018Oct;118;24.6;6.3;14.85;6;618.1;Lluvioso;44;8;3;0;13;0;0;NIÑO DÉBIL
2018;Nov;jueves, 1 de noviembre de 2018;62;Niño;0.9;2018Nov;119;26;6;14.98;7;932;Lluvioso;63;2;1;0;26;0;108;NIÑO DÉBIL
2018;Dic;sábado, 1 de diciembre de 2018;85;Niño;0.8;2018Dic;120;25.8;3.6;14.34;6;19.9;Menos lluvioso;53;3;0;0;2;0;1;NIÑO DÉBIL
2019;Ene;martes, 1 de enero de 2019;392;Niño;0.8;2019Ene;121;25.6;3.9;14.63;2;169.4;Menos lluvioso;25;0;0;2;1;0;0;NIÑO DÉBIL
2019;Feb;viernes, 1 de febrero de 2019;130;Niño;0.8;2019Feb;122;27.4;6.2;15.45;4;394;Menos lluvioso;42;9;0;3;13;0;0;NIÑO DÉBIL
2019;Mar;viernes, 1 de marzo de 2019;103;Niño;0.8;2019Mar;123;26.9;6.8;15.42;1;840.1;Lluvioso;87;9;12;0;32;0;65;NIÑO DÉBIL
2019;Abr;lunes, 1 de abril de 2019;177;Niño;0.7;2019Abr;124;26.2;8;15.43;3;1240.6;Lluvioso;151;25;0;0;32;0;0;NIÑO DÉBIL
2019;May;miércoles, 1 de mayo de 2019;307;Niño;0.6;2019May;125;25;5.3;15.09;7;1295.3;Lluvioso;163;7;88;11;0;0;5;NIÑO DÉBIL
2019;Jun;sábado, 1 de junio de 2019;168;Niño;0.5;2019Jun;126;24.8;5.8;14.79;4;766.5;Menos lluvioso;115;5;149;0;8;0;9;NIÑO DÉBIL
2019;Jul;lunes, 1 de julio de 2019;335;Neutro;0.3;2019Jul;127;27.2;6.2;14.63;3;464.3;Menos lluvioso;66;10;0;0;7;0;0;NEUTRO
2019;Ago;jueves, 1 de agosto de 2019;182;Neutro;0.1;2019Ago;128;27.1;4.5;14.36;3;412.4;Menos lluvioso;66;7;127;0;0;0;0;NEUTRO
2019;Sep;domingo, 1 de septiembre de 2019;159;Neutro;0.1;2019Sep;129;29.7;6.2;15.01;1;754.9;Menos lluvioso;55;5;9;3;16;0;4;NEUTRO
2019;Oct;martes, 1 de octubre de 2019;130;Neutro;0.3;2019Oct;130;28.7;4.8;14.55;4;1049.7;Lluvioso;59;7;7;0;30;0;123;NEUTRO
2019;Nov;viernes, 1 de noviembre de 2019;203;Niño;0.5;2019Nov;131;28.8;5.2;15.13;1;2036.2;Lluvioso;46;37;0;0;68;0;0;NIÑO DÉBIL
2019;Dic;domingo, 1 de diciembre de 2019;163;Niño;0.5;2019Dic;132;28.4;5.7;15.25;6;439.7;Lluvioso;58;5;4;0;10;0;6;NIÑO DÉBIL
2020;Ene;miércoles, 1 de enero de 2020;967;Niño;0.5;2020Ene;133;28.7;3.3;15.15;9;354.2;Menos lluvioso;36;5;0;0;43;0;7;NIÑO DÉBIL
2020;Feb;sábado, 1 de febrero de 2020;188;Niño;0.6;2020Feb;134;29.1;0.7;15.36;4;1035.5;Lluvioso;72;8;0;1;44;0;2;NIÑO DÉBIL
2020;Mar;domingo, 1 de marzo de 2020;106;Niño;0.5;2020Mar;135;28;5.8;15.84;2;927.6;Lluvioso;203;4;4;0;36;0;0;NIÑO DÉBIL
2020;Abr;miércoles, 1 de abril de 2020;75;Neutro;0.3;2020Abr;136;26.4;4.8;15.64;1;736.1;Menos lluvioso;474;2;2;0;3;0;1;NEUTRO
2020;May;viernes, 1 de mayo de 2020;72;Neutro;0;2020May;137;25.5;7.2;15.39;0;783.3;Menos lluvioso;1784;10;6;0;1;0;0;NEUTRO
2020;Jun;lunes, 1 de junio de 2020;52;Neutro;-0.2;2020Jun;138;24.8;7.1;14.89;3;919.3;Lluvioso;3091;8;15;0;0;0;0;NEUTRO
2020;Jul;miércoles, 1 de julio de 2020;42;Neutro;-0.4;2020Jul;139;23.9;7.4;14.57;1;1041.9;Lluvioso;5063;5;16;0;3;0;0;NEUTRO
2020;Ago;sábado, 1 de agosto de 2020;21;Neutro;-0.6;2020Ago;140;25.9;6;14.85;0;473.4;Menos lluvioso;132;3;10;0;3;0;0;NIÑO FUERTE
2020;Sep;martes, 1 de septiembre de 2020;54;Neutro;-0.9;2020Sep;141;25.2;4.1;14.54;3;980.7;Lluvioso;59;1;0;0;3;0;0;NIÑO FUERTE
2020;Oct;jueves, 1 de octubre de 2020;56;Neutro;-1.2;2020Oct;142;25.8;6.1;14.93;6;397.9;Menos lluvioso;79;0;0;0;4;0;0;NIÑO FUERTE
2020;Nov;domingo, 1 de noviembre de 2020;49;Neutro;-1.3;2020Nov;143;25.8;7.1;14.65;5;2413.2;Lluvioso;84;71;204;0;75;0;42;NIÑO FUERTE
2020;Dic;martes, 1 de diciembre de 2020;47;Niña;-1.2;2020Dic;144;26.2;4.6;14.69;3;880.1;Lluvioso;84;29;47;0;4;0;0;NIÑA MODERADO
2021;Ene;viernes, 1 de enero de 2021;33;Niña;-1;2021Ene;145;26.5;4;14.37;5;186.6;Menos lluvioso;64;4;6;0;1;0;0;NIÑA MODERADO
